OID_,INSPECTION,DEVELOPMEN,DEVELOPM_1,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAM,COUNTY_COD,STATE_NAME,STATE_CODE,ZIPCODE,LATITUDE,LONGITUDE,LOCATION_Q,PHA_CODE,PHA_NAME,INSPECTI_1,INSPECTI_2,NEAR_FID,NEAR_DIST
3637,626872,MO038000001,LAKEVIEW APARTMENTS,101 Ralph Johnson Cir Apt 1A,Osceola, ,99999,St. Clair,185,MO,29,64776,38.048931000000003,-93.692668999999995,R,MO038,Osceola Housing Authority,96,8/2/2018 0:00:00,14913,0.162641314451000
3638,626870,MS110000001,B T GREEN HOMES,416 Martin Luther King St,Mound Bayou,"Cleveland, MS Micropolitan Statistical Area",17380,Bolivar,11,MS,28,38762,33.879427999999997,-90.720459000000005,R,MS110,The Housing Authority of the City of Mound Bayou,76,8/2/2018 0:00:00,294405,0.048657872874200
3639,626868,MI039000003,DULHUT VILLAGE,2902 22nd St Apt 1,Port Huron,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,St. Clair,147,MI,26,48060,42.949832999999998,-82.448939999999993,R,MI039,Port Huron Housing Commission,95,7/3/2018 0:00:00,543932,0.006540566363880
3640,626867,MI020000001,MEADOWVIEW VILLAGE,802 S Mill St,Reed City, ,99999,Osceola,133,MI,26,49677,43.866776000000002,-85.507954999999995,R,MI020,Reed City Housing Commission,43,9/11/2018 0:00:00,68319,0.415899117365000
3641,626866,MO058000003,MADISON TOWER,421 W Madison St,Springfield,"Springfield, MO Metropolitan Statistical Area",44180,Greene,77,MO,29,65806,37.200679999999998,-93.295203000000001,R,MO058,Springfield Housing Authority,94,9/17/2018 0:00:00,331630,0.008355667187960
3642,626865,MS030000001,AMP -1,109 Congregate Rd Apt 1,Newton, ,99999,Newton,101,MS,28,39345,32.334353000000000,-89.148797000000002,R,MS030,Mississippi Regional Housing Authority No. V,99,9/17/2018 0:00:00,13791,0.007512924994250
3643,626864,MI158000001,WHISPERING PINES APTS/MAPLELEAF,W17557 Whispering Pine Rd,Curtis, ,99999,Mackinac,97,MI,26,49820,46.205292000000000,-85.757560999999995,4,MI158,Mackinac County Housing Commission,83,10/4/2018 0:00:00,585534,0.398939833178000
3644,626861,MI006000013,Scattered Sites V,615 Bradley St,Saginaw,"Saginaw, MI Metropolitan Statistical Area",40980,Saginaw,145,MI,26,48601,43.393403999999997,-83.956507000000002,R,MI006,Saginaw Housing Commission,84,9/12/2018 0:00:00,219652,0.130008728467000
3645,626860,MI001000085,Gardenview Estates Phase III C,16860 Gardenview Cir,Detroit,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,Wayne,163,MI,26,48228,42.356397000000001,-83.209903999999995,R,MI001,Detroit Housing Commission,92,8/3/2018 0:00:00,724612,0.041927966667400
3646,626858,MI019000001,HILLCREST MANOR,412 Michigan Ave,Baraga, ,99999,Baraga,13,MI,26,49908,46.779153000000001,-88.496002000000004,R,MI019,Baraga Housing Commission,91,9/21/2018 0:00:00,91124,0.470566691311000
3647,626855,MI001000051,Cornerstone Estates 7A,908 Temple St,Detroit,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,Wayne,163,MI,26,48201,42.340273000000003,-83.064155000000000,R,MI001,Detroit Housing Commission,84,8/6/2018 0:00:00,724890,0.018056183729800
3648,626852,MI001000002,SOJOURNER TRUTH,4617 E Nevada St,Detroit,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,Wayne,163,MI,26,48234,42.426180000000002,-83.057440999999997,R,MI001,Detroit Housing Commission,84,8/16/2018 0:00:00,432024,0.097188443800600
3649,626849,MI001000043,Emerald Springs Phase II,5814 Emerald Springs Cir,Detroit,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,Wayne,163,MI,26,48212,42.411195999999997,-83.045253000000002,R,MI001,Detroit Housing Commission,85,8/1/2018 0:00:00,724890,0.079550989824900
3650,626848,MI001000077,Gardenview Estates,8237 Asbury Park,Detroit,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,Wayne,163,MI,26,48228,42.352097999999998,-83.206715000000003,R,MI001,Detroit Housing Commission,91,8/14/2018 0:00:00,724612,0.041757281538400
3651,626847,MD015015003,MARLBOROUGH TOWNE,1801 Tanow Pl,District Heights,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",47900,Prince George's,33,MD,24,20747,38.864693000000003,-76.910922999999997,R,MD015,Housing Authority of Prince Georges County,93,9/25/2018 0:00:00,596744,0.018228540073100
3652,626846,ME002000001,BORDERVIEW HOMES,4 Hillcrest Ests,Fort Fairfield, ,99999,Aroostook,3,ME,23,4742,46.768307999999998,-67.823739000000003,R,ME002,Fort Fairfield Housing Authority,94,11/7/2018 0:00:00,7951,0.232272193333000
3653,626839,MI001000020,Woodbridge Estates I,1142 Temptations Ln,Detroit,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,Wayne,163,MI,26,48201,42.348036000000000,-83.071501999999995,R,MI001,Detroit Housing Commission,87,8/10/2018 0:00:00,724890,0.027772388641700
3654,626837,MI009000014,ALDRIDGE PLACE,5702 Edgar Holt Dr,Flint,"Flint, MI Metropolitan Statistical Area",22420,Genesee,49,MI,26,48505,43.065331999999998,-83.685637000000000,R,MI009,Flint Housing Commission,82,8/7/2018 0:00:00,8769,0.019178089391900
3655,626834,MD018000105,GLEN SQUARE,102 Crain Hwy N,Glen Burnie,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",12580,Anne Arundel,3,MD,24,21061,39.164909000000002,-76.625161000000006,R,MD018,Housing Commisson Of Anne Arundel County,91,6/25/2018 0:00:00,579996,0.006204813534100
3656,626832,ME008000088,ELM TOWERS,60 Elm St,Waterville,"Augusta-Waterville, ME Micropolitan Statistical Area",12300,Kennebec,11,ME,23,4901,44.549948999999998,-69.633629999999997,R,ME008,Waterville Housing Authority,83,9/5/2018 0:00:00,280940,0.003489277099530
3657,626830,MI001000072,Woodbridge - Senior Enhanced,1300 Mlk Jr Blvd,Detroit,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,Wayne,163,MI,26,48201,42.342635000000001,-83.070346999999998,4,MI001,Detroit Housing Commission,95,8/10/2018 0:00:00,724890,0.022391451173200
3658,626829,MD012000001,"Housing Authority,City of Havre de Grace",110 Stansbury Ct,Havre De Grace,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",12580,Harford,25,MD,24,21078,39.549750000000003,-76.101093000000006,R,MD012,Havre de Grace Housing Authority,83,9/7/2018 0:00:00,366849,0.000784053135101
3659,626822,ME005000001,BLAKE STREET TOWERS,70 Blake St,Lewiston,"Lewiston-Auburn, ME Metropolitan Statistical Area",30340,Androscoggin,1,ME,23,4240,44.097956000000003,-70.213706000000002,R,ME005,Lewiston Housing Authority,84,9/7/2018 0:00:00,66818,0.004897469014540
3660,626821,MI001000089,Gardenview Estates Phase III D,16910 Gardenview Cir,Detroit,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,Wayne,163,MI,26,48228,42.355839000000003,-83.209892999999994,R,MI001,Detroit Housing Commission,96,8/3/2018 0:00:00,724612,0.041564485373600
3661,626816,MD015015007,ROLLINGCREST VILLAGE,5631 Sargent Rd,Hyattsville,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",47900,Prince George's,33,MD,24,20782,38.959344999999999,-76.986236000000005,R,MD015,Housing Authority of Prince Georges County,97,9/14/2018 0:00:00,596820,0.007179442008710
3662,626808,MA132000001,GROVELAND HA,10 River Pines Dr,Groveland,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,Essex,9,MA,25,1834,42.767541999999999,-71.024461000000002,R,MA132,Groveland Housing Authority,76,9/5/2018 0:00:00,478826,0.003155287181810
3663,626805,MA020000006,ARTHUR DROHAN APARTMENTS,170 Copeland St,Quincy,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,Norfolk,21,MA,25,2169,42.243085000000001,-71.022886000000000,R,MA020,Quincy Housing Authority,96,9/6/2018 0:00:00,420319,0.001792867870990
3664,626804,LA262081270,UNNAMED,1400/1402 Mike Avenue,Lake Providence, ,99999,East Carroll,35,LA,22,71254,32.893999999999998,-91.189400000000006,T,LA262,East Carroll Parish Housing Authority,85,8/3/2018 0:00:00,13277,0.009351697509630
3665,626799,MA118000001,HIGHLAND MANOR,14 Stone St,Danvers,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,Essex,9,MA,25,1923,42.562714000000000,-70.956908999999996,R,MA118,Danvers Housing Authority,86,10/4/2018 0:00:00,478343,0.004368768615270
3666,626794,MA020000002,COSTANZO PAGNANO TOWERS,109 Curtis Ave,Quincy,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,Norfolk,21,MA,25,2169,42.247675999999998,-70.976626999999993,R,MA020,Quincy Housing Authority,83,9/17/2018 0:00:00,420597,0.001880584111040
3667,626793,LA166000002,PECAN GROVE,106 Butler St,Campti,"Natchitoches, LA Micropolitan Statistical Area",35060,Natchitoches,69,LA,22,71411,31.896418000000001,-93.110772999999995,R,LA166,Housing Authority of Natchitoches Parish,74,9/12/2018 0:00:00,74127,0.093433375623200
3668,626791,MD002000031,ROSEMONT/DUKELAND,3012 Normount Ct,Baltimore,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",12580,Baltimore City,510,MD,24,21216,39.302757999999997,-76.668424000000002,R,MD002,Housing Authority Of Baltimore City,49,8/27/2018 0:00:00,308806,0.003766465692380
3669,626789,MA117000001,STOUGHTON MEMORIAL VILLA,126 Britton Ave,Stoughton,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,Norfolk,21,MA,25,2072,42.132542000000001,-71.098810000000000,R,MA117,Stoughton Housing Authority,96,9/18/2018 0:00:00,420392,0.009769647957380
3670,626788,LA037000001,SOUTHFIELD PLAZA,1398 Sheppard St Apt 9,Minden,"Minden, LA Micropolitan Statistical Area",33380,Webster,119,LA,22,71055,32.617663999999998,-93.273973999999995,R,LA037,Housing Authority of the City of Minden,55,8/9/2018 0:00:00,7482,0.015063610071300
3671,626787,MA020000001,RIVERVIEW,100 Doane St,Quincy,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,Norfolk,21,MA,25,2169,42.254145000000001,-70.961039999999997,R,MA020,Quincy Housing Authority,93,8/21/2018 0:00:00,420241,0.000000000000000
3672,626785,MD001000009,NEW OBERY CT,1 Bates St,Annapolis,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",12580,Anne Arundel,3,MD,24,21401,38.979762000000001,-76.499207999999996,R,MD001,Housing Authority of the City of Annapolis,82,6/21/2018 0:00:00,580564,0.000893655334754
3673,626782,LA077000001,UNNAMED,501 5th St. - Apt. 121,Logansport,"Shreveport-Bossier City, LA Metropolitan Statistical Area",43340,De Soto,31,LA,22,71049,31.975947999999999,-94.001672999999997,4,LA077,Housing Authority of the Town of Logansport,83,7/13/2018 0:00:00,7151,0.001366817680180
3674,626781,MD002000021,BROOKLYN HOMES,851 Herndon Ct,Baltimore,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",12580,Baltimore City,510,MD,24,21225,39.228762000000003,-76.600699000000006,R,MD002,Housing Authority Of Baltimore City,71,9/13/2018 0:00:00,308639,0.014794034758500
3675,626779,LA035000001,GUEYDAN HOUSING AUTHORITY,808 8th St,Gueydan,"Lafayette, LA Metropolitan Statistical Area",29180,Vermilion,113,LA,22,70542,30.028815999999999,-92.505908000000005,R,LA035,Housing Authority of the Town of Gueydan,79,7/9/2018 0:00:00,7545,0.007147878757510
3676,626778,MA098000001,SCATTERED SITES,199 Conant St,Concord,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,Middlesex,17,MA,25,1742,42.454343000000001,-71.403966999999994,R,MA098,Concord Housing Authority,83,8/30/2018 0:00:00,711561,0.002563764431920
3677,626777,KY074000002,DEBORD TERRACE II,917 Kilgore Dr,Ashland,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",26580,Boyd,19,KY,21,41101,38.461612000000002,-82.620036999999996,R,KY074,Housing Authority of Ashland,95,7/10/2018 0:00:00,276431,0.005746411610280
3678,626776,LA046071543,UNNAMED,1322 Eddy St,Vinton,"Lake Charles, LA Metropolitan Statistical Area",29340,Calcasieu,19,LA,22,70668,30.191068000000001,-93.579768999999999,R,LA046,Housing Authority of the Town of Vinton,50,9/25/2018 0:00:00,498718,0.004022233952550
3679,626775,MA019000001,SPRING COURT EXT,1 Spring Court Ext,Woburn,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,Middlesex,17,MA,25,1801,42.477248000000003,-71.137488000000005,R,MA019,Woburn Housing Authority,87,8/29/2018 0:00:00,710867,0.010768952139200
3680,626774,MD001000007,NEW BLOOMSBURY SQUARE,111A Bloomsbury Sq,Annapolis,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",12580,Anne Arundel,3,MD,24,21401,38.981842999999998,-76.494451999999995,4,MD001,Housing Authority of the City of Annapolis,83,6/28/2018 0:00:00,580564,0.001452251700860
3681,626772,LA075000001,PELICAN  DRIVE,1034 Pelican Dr,Ponchatoula,"Hammond, LA Metropolitan Statistical Area",25220,Tangipahoa,105,LA,22,70454,30.438679000000000,-90.427124000000006,R,LA075,Housing Authority of the Town of Pontchatoula,71,9/7/2018 0:00:00,300250,0.017312120663000
3682,626768,MA025000001,WILLOWOOD GARDENS,1 Willowood Rd,Gloucester,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",14460,Essex,9,MA,25,1930,42.618243000000000,-70.666447000000005,R,MA025,Gloucester Housing Authority,84,8/14/2018 0:00:00,478293,0.006217107243410
3683,626767,KY074000001,SCOPE TOWERS II,3101 Winchester Ave,Ashland,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",26580,Boyd,19,KY,21,41101,38.468680999999997,-82.621387999999996,R,KY074,Housing Authority of Ashland,94,7/9/2018 0:00:00,276431,0.002144481129590
3684,626766,KY016000001,B E WILLIS MANOR,502 Ellis Ct,Richmond,"Richmond-Berea, KY Micropolitan Statistical Area",40080,Madison,151,KY,21,40475,37.748187000000001,-84.301416000000003,R,KY016,Housing Authority of Richmond,83,9/17/2018 0:00:00,135533,0.003284075379860
3685,626765,KY002000015,New Site Properties,220 E 8th St,Covington,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",17140,Kenton,117,KY,21,41011,39.083025999999997,-84.505769000000001,R,KY002,Housing Authority of Covington,75,9/13/2018 0:00:00,73922,0.001797240887650
3686,626764,LA045000001,RICH CIRCLE,2542 4th St Apt 189,Arcadia, ,99999,Bienville,13,LA,22,71001,32.555424000000002,-92.928049000000001,R,LA045,Housing Authority of the Town of Arcadia,72,7/3/2018 0:00:00,7112,0.003998460666850
3687,626761,LA006000011,FRANCES TOWER,300 Harrison St,Monroe,"Monroe, LA Metropolitan Statistical Area",33740,Ouachita,73,LA,22,71201,32.501663999999998,-92.116142999999994,R,LA006,Housing Authority of Monroe,97,6/27/2018 0:00:00,327875,0.002242283765770
3688,626757,KY004000013,Bluegrass Phase III,640 Triple Crown Pkwy,Lexington,"Lexington-Fayette, KY Metropolitan Statistical Area",30460,Fayette,67,KY,21,40508,38.045113999999998,-84.477902000000000,R,KY004,Housing Authority of Lexington,85,9/20/2018 0:00:00,513942,0.021848040452500
3689,626756,KY002000012,Eastside Revitalization 2,217 Trevor St,Covington,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",17140,Kenton,117,KY,21,41011,39.077572000000004,-84.504373999999999,R,KY002,Housing Authority of Covington,83,9/21/2018 0:00:00,73922,0.003839864954820
3690,626755,KS020000001,SOLOMON VALLEY APARTMENTS,200 E Vermont St,Osborne, ,99999,Osborne,141,KS,20,67473,39.435330000000000,-98.692434000000006,R,KS020,Osborne Housing Authority,82,8/30/2018 0:00:00,506493,0.727392356896000
3691,626754,KY056000001,HILL TOP,124 Hilltop St,Springfield, ,99999,Washington,229,KY,21,40069,37.666300000000000,-85.195800000000006,B,KY056,Housing Authority of Springfield,70,9/13/2018 0:00:00,16768,0.230696445658000
3692,626753,LA006000010,MILLER SQUARE,4302 Crown Cir,Monroe,"Monroe, LA Metropolitan Statistical Area",33740,Ouachita,73,LA,22,71203,32.504598999999999,-92.070119000000005,R,LA006,Housing Authority of Monroe,85,6/28/2018 0:00:00,327836,0.000000000000000
3693,626752,IN020000002,RIVER VIEW 500,500 Lincolnway E,Mishawaka,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",43780,St. Joseph,141,IN,18,46544,41.661295000000003,-86.174497000000002,R,IN020,Housing Authority of the City of Mishawaka,90,8/14/2018 0:00:00,80667,0.000580225562239
3694,626750,KY001000052,Liberty Green IV,301 S Clay St,Louisville,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",31140,Jefferson,111,KY,21,40202,38.251907000000003,-85.740211000000002,R,KY001,Louisville Metro Housing Authority,89,9/17/2018 0:00:00,702553,0.004498571742310
3695,626749,IN003000003,TALL OAKS,7300 Decatur Rd Apt 311,Fort Wayne,"Fort Wayne, IN Metropolitan Statistical Area",23060,Allen,3,IN,18,46816,41.017943000000002,-85.115172000000001,R,IN003,Fort Wayne Housing Authority,83,8/8/2018 0:00:00,319652,0.012305798113100
3696,626748,KY001000036,St. Francis,233 W Broadway Apt 611,Louisville,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",31140,Jefferson,111,KY,21,40202,38.246077000000000,-85.756067000000002,R,KY001,Louisville Metro Housing Authority,82,9/17/2018 0:00:00,702553,0.010541488195900
3697,626746,KY004000008,SUGAR MILL APARTMENTS,1814 Versailles Rd,Lexington,"Lexington-Fayette, KY Metropolitan Statistical Area",30460,Fayette,67,KY,21,40504,38.047984999999997,-84.538060000000002,R,KY004,Housing Authority of Lexington,86,8/9/2018 0:00:00,514355,0.000777309112028
3698,626743,IN089000001,FRONT ST CT&SYLVAN MANOR,150 Kerr Ave,Rome City,"Kendallville, IN Micropolitan Statistical Area",28340,Noble,113,IN,18,46784,41.492803000000002,-85.375208999999998,R,IN089,Housing Authority of the City of Rome City,76,8/20/2018 0:00:00,328724,0.000635485558364
3699,626739,IN003000002,BROOKMILL COURT,2011 Nuttman Ave,Fort Wayne,"Fort Wayne, IN Metropolitan Statistical Area",23060,Allen,3,IN,18,46809,41.052871000000003,-85.166518999999994,R,IN003,Fort Wayne Housing Authority,88,8/1/2018 0:00:00,319639,0.003881662915420
3700,626738,KY001000030,Park DuValle Phase II,1901 Russell Lee Dr,Louisville,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",31140,Jefferson,111,KY,21,40211,38.227066999999998,-85.818027999999998,R,KY001,Louisville Metro Housing Authority,80,9/5/2018 0:00:00,702260,0.018653073032400
3701,626736,IN067000001,TILLY ESTATE,Wilson St,Bicknell,"Vincennes, IN Micropolitan Statistical Area",47180,Knox,83,IN,18,47512,38.769871000000002,-87.317273000000000,4,IN067,Knox County Housing Authority,70,8/29/2018 0:00:00,5599,0.178338814045000
3702,626735,KY004000007,Homownership,224 Twelfth St,Lexington,"Lexington-Fayette, KY Metropolitan Statistical Area",30460,Fayette,67,KY,21,40505,38.063862000000000,-84.481740000000002,R,KY004,Housing Authority of Lexington,82,9/10/2018 0:00:00,513957,0.005418756704530
3703,626734,KY001000002,BEECHER TERRACE,401 S 11th St,Louisville,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",31140,Jefferson,111,KY,21,40203,38.253754000000001,-85.768642000000000,R,KY001,Louisville Metro Housing Authority,46,9/12/2018 0:00:00,702553,0.005298399371270
3704,626733,KY002000005,GOLDEN TOWER,50 E 11th St,Covington,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",17140,Kenton,117,KY,21,41011,39.079197999999998,-84.508180999999993,R,KY002,Housing Authority of Covington,80,9/20/2018 0:00:00,73922,0.005741946855100
3705,626730,IN002004004,PRESIDENTIAL ESTATES,PRESIDENTIAL ESTATES,Vincennes,"Vincennes, IN Micropolitan Statistical Area",47180,Knox,83,IN,18,47591,38.669699999999999,-87.510700000000000,T,IN002,Vincennes Housing Authority,83,8/16/2018 0:00:00,5599,0.024377653334300
3706,626726,IN041000002,NORMAN MANOR,121 N Washington St,Marion,"Marion, IN Micropolitan Statistical Area",31980,Grant,53,IN,18,46952,40.562151000000000,-85.660022999999995,R,IN041,"Housing Authority of the City of Marion, IN",91,8/3/2018 0:00:00,110931,0.000061623940855
3707,626725,KS083000001,GREENLEAF HEIGHTS,301 Hillcrest Ln,Greenleaf, ,99999,Washington,201,KS,20,66943,39.721803999999999,-96.978792999999996,R,KS083,Greenleaf Housing Authority,76,9/25/2018 0:00:00,196873,0.273059542187000
3708,626723,IN009000001,MERLE HENDERSON APARTMENTS,81 S 14th St,Richmond,"Richmond, IN Micropolitan Statistical Area",39980,Wayne,177,IN,18,47374,39.827582999999997,-84.883015999999998,R,IN009,Housing Authority of the City of Richmond,80,7/30/2018 0:00:00,69531,0.012096592868400
3709,626719,IN002002002,OLD FRENCH TOWNE,600 Nicholas St,Vincennes,"Vincennes, IN Micropolitan Statistical Area",47180,Knox,83,IN,18,47591,38.674429000000003,-87.533461000000003,R,IN002,Vincennes Housing Authority,71,8/27/2018 0:00:00,5599,0.006955969884450
3710,626716,IN041000001,MASON HOMES,1202 Upton St,Marion,"Marion, IN Micropolitan Statistical Area",31980,Grant,53,IN,18,46953,40.549571000000000,-85.680868000000004,R,IN041,"Housing Authority of the City of Marion, IN",86,8/22/2018 0:00:00,110973,0.004611131627000
3711,626715,KS081000001,NICODEMUS VILLA,510 Washington Ave,Bogue, ,99999,Graham,65,KS,20,67625,39.393307999999998,-99.618820999999997,R,KS081,Nicodemus Housing Authority,66,8/29/2018 0:00:00,506468,0.445552086779000
3712,626714,IL078000001,ALEX LONG/TALMAGE DEFREES APTS,400 S 2nd St,Greenville,"St. Louis, MO-IL Metropolitan Statistical Area",41180,Bond,5,IL,17,62246,38.889353000000000,-89.412246999999994,R,IL078,Housing Authority of the County of Bond,85,9/19/2018 0:00:00,163185,0.203289923345000
3713,626713,IN003000008,South Side Senior Villas,7260 John St,Fort Wayne,"Fort Wayne, IN Metropolitan Statistical Area",23060,Allen,3,IN,18,46816,41.018675999999999,-85.123604000000000,R,IN003,Fort Wayne Housing Authority,100,8/6/2018 0:00:00,319652,0.004126769849940
3714,626712,IL024000007,SCATTERED SITES,2200 Oneida St,Joliet,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",16980,Will,197,IL,17,60435,41.524687000000000,-88.133962999999994,R,IL024,Housing Authority of Joliet,86,8/30/2018 0:00:00,692913,0.008854104997270
3715,626710,IL095000001,OREGON,203 S 3rd St,Oregon,"Rochelle, IL Micropolitan Statistical Area",40300,Ogle,141,IL,17,61061,42.013233999999997,-89.331041999999997,R,IL095,Ogle County Housing Authority,72,9/17/2018 0:00:00,260654,0.002744709288040
3716,626709,GA186000005,PROJECT UNNAMED,211 Isabella St,Abbeville, ,99999,Wilcox,315,GA,13,31001,31.994565999999999,-83.302976000000001,R,GA186,Housing Authority of the City of Abbeville,44,8/17/2018 0:00:00,4857,0.265196001984000
3717,626708,GA247000002,DRAKE HEIGHTS,104 Adams St,Thomaston,"Thomaston, GA Micropolitan Statistical Area",45580,Upson,293,GA,13,30286,32.899619999999999,-84.324631999999994,R,GA247,Housing Authority of the City of Thomaston,92,9/21/2018 0:00:00,4731,0.007276403697540
3718,626703,IL024000006,JOHN MURPHY CENTER,311 N Ottawa St,Joliet,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",16980,Will,197,IL,17,60432,41.530186000000000,-88.083363000000006,R,IL024,Housing Authority of Joliet,82,8/27/2018 0:00:00,694551,0.000000000000000
3719,626702,GA069000200,JOHNSON HOMES,112 Katie Dudley Vlg,Dublin,"Dublin, GA Micropolitan Statistical Area",20140,Laurens,175,GA,13,31021,32.536682999999996,-82.897250999999997,R,GA069,Housing Authority of the City of Dublin,86,8/6/2018 0:00:00,4917,0.002780504201040
3720,626701,IL053000008,CARBONDALE,1425 Old West Main St,Carbondale,"Carbondale-Marion, IL Metropolitan Statistical Area",16060,Jackson,77,IL,17,62901,37.726624000000001,-89.235448000000005,R,IL053,"Housing Authority of the County of Jackson, IL.",91,6/26/2018 0:00:00,180915,0.006857020089430
3721,626700,GA006001080,Ashley Auburn Pointe I (Grady III),322 Decatur St SE,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",12060,Fulton,121,GA,13,30312,33.750126999999999,-84.378018999999995,R,GA006,Housing Authority of the City of ATLANTA Georgia,94,7/18/2018 0:00:00,451990,0.029121428292300
3722,626698,GA247000001,TRIUNE VILLAGE,209 Triune Ave,Thomaston,"Thomaston, GA Micropolitan Statistical Area",45580,Upson,293,GA,13,30286,32.880685999999997,-84.310198000000000,R,GA247,Housing Authority of the City of Thomaston,96,9/12/2018 0:00:00,4867,0.015832025194500
3723,626696,GA137000001,HAMMOCK HOMES,153 N Miller St,Hazlehurst, ,99999,Jeff Davis,161,GA,13,31539,31.876937000000002,-82.597178999999997,R,GA137,Housing Authority of the City of Hazlehurst,70,8/8/2018 0:00:00,4967,0.005307562255920
3724,626694,GA069000100,CLAXTON HOMES,511 Vinson Vlg,Dublin,"Dublin, GA Micropolitan Statistical Area",20140,Laurens,175,GA,13,31021,32.545699999999997,-82.915099999999995,B,GA069,Housing Authority of the City of Dublin,88,8/8/2018 0:00:00,4900,0.009485864463190
3725,626693,GA095000005,Summit Point Apartments,257 E Broad St,Newnan,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",12060,Coweta,77,GA,13,30263,33.368765000000003,-84.781130000000005,R,GA095,Housing Authority of the City of Newnan,91,7/9/2018 0:00:00,301184,0.001845511803680
3726,626692,GA006001060,Mech StatCross/Mech-4-McDanGlen homes IV,540 Humphries St SW,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",12060,Fulton,121,GA,13,30312,33.739910000000002,-84.404782999999995,R,GA006,Housing Authority of the City of ATLANTA Georgia,80,6/19/2018 0:00:00,357719,0.024014377706300
3727,626691,ID016000016,SYRINGA COURT,256 E Syringa Cir,Glenns Ferry,"Mountain Home, ID Micropolitan Statistical Area",34300,Elmore,39,ID,16,83623,42.958528999999999,-115.297127000000003,R,ID016,Southwestern Idaho Cooperative Housing Authority,86,10/15/2018 0:00:00,683000,0.862556936245000
3728,626688,GA166000001,NANCY HENDRIX/CEDAR CK,33 Mikell St,Pembroke,"Savannah, GA Metropolitan Statistical Area",42340,Bryan,29,GA,13,31321,32.137836000000000,-81.627775999999997,R,GA166,Housing Authority of the City of Claxton,86,9/12/2018 0:00:00,742662,0.105025159253000
3729,626686,GA084000001,HERMAN TALMADGE APTS,109 W Willow Creek Ln Apt 10901,Mc Rae, ,99999,Telfair,271,GA,13,31055,32.060842999999998,-82.908782000000002,R,GA084,Housing Authority of the City of McRae,91,8/9/2018 0:00:00,5035,0.360511975523000
3730,626685,GA109000001,WILL BATES VILLAGE,272 Ga Hwy 91 NW,Newton, ,99999,Baker,7,GA,13,39870,31.320173000000000,-84.345596000000000,R,GA109,Housing Authority of the City of Newton,91,7/19/2018 0:00:00,263301,0.145711262136000
3731,626682,GA006001030,Atrium at Collegetown/John O. Chiles Sr,435 Joseph E Lowery Blvd SW,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",12060,Fulton,121,GA,13,30310,33.742928999999997,-84.417817999999997,R,GA006,Housing Authority of the City of ATLANTA Georgia,96,6/20/2018 0:00:00,354503,0.014139311835500
